Fecha,Sesiones,Montos
20/09/2015,164997,14794258.57
21/09/2015,269201,30274248.81
22/09/2015,264276,31077638.57
23/09/2015,299043,32147903.18
24/09/2015,275168,27241548.97
25/09/2015,218124,21770828.08
26/09/2015,148107,13749145.83
27/09/2015,153888,12689562.97
28/09/2015,255376,26696089.65
29/09/2015,265184,33197522.57
30/09/2015,276726,32993708.87
01/10/2015,255589,26854100.59
02/10/2015,227312,23788876.34
03/10/2015,151424,15735702.78
04/10/2015,156293,16257208.73
05/10/2015,265147,27706630.53
06/10/2015,290751,36055122.78
07/10/2015,298080,36582788.68
08/10/2015,262664,31346612.69
09/10/2015,224180,23735081.83
10/10/2015,149467,15884303.8
11/10/2015,156896,14735882.23
12/10/2015,280846,28558714.59
13/10/2015,293823,38719910.39
14/10/2015,331633,38135821.18
15/10/2015,271978,30958910.37
16/10/2015,230465,25440101.26
17/10/2015,160880,16459949.52
18/10/2015,164678,14711182.69
19/10/2015,269189,32674842.15
20/10/2015,269031,36487099.4
21/10/2015,296270,32822824.2
22/10/2015,258422,27505808.04
23/10/2015,223289,22237585.51
24/10/2015,151369,15637299.46
25/10/2015,163576,16167435.59
26/10/2015,259578,30291645.01
27/10/2015,269125,33734586.36
28/10/2015,299145,34749168.36
29/10/2015,255616,37218147.19
30/10/2015,202894,24455991.82
31/10/2015,131323,14764145.29
01/11/2015,143367,14630487.31
02/11/2015,225844,26055192.66
03/11/2015,283051,39304163.8
04/11/2015,350848,47234706.47
05/11/2015,281701,30412962.5
06/11/2015,301730,32424810.86
07/11/2015,191814,22139362.64
08/11/2015,186122,19314867.53
09/11/2015,325010,33903620.99
10/11/2015,319540,41602850.81
11/11/2015,346227,42185321.92
12/11/2015,458846,50660907.08
13/11/2015,475868,60482898.76
14/11/2015,316155,45520077.43
15/11/2015,264775,35447699.15
16/11/2015,358730,51286028.93
17/11/2015,328528,29884380.6
18/11/2015,328004,32920698.11
19/11/2015,276557,28204529.09
20/11/2015,255515,27640613.92
21/11/2015,179383,11777017.82
22/11/2015,174235,16647141.99
23/11/2015,284049,29000170.3
24/11/2015,289253,38363973.18
25/11/2015,281156,35929415.33
26/11/2015,247701,22349110.31
27/11/2015,257575,24494977.01
28/11/2015,165594,16069744.15
29/11/2015,176037,15201554.18
30/11/2015,298831,33885589.64
01/12/2015,288055,38220531.68
02/12/2015,300217,36106845.24
03/12/2015,272100,33372159.58
04/12/2015,307566,29084474.7
05/12/2015,212457,21512028.43
06/12/2015,201755,19745271.03
07/12/2015,305952,36730029.33
08/12/2015,292977,29762698.55
09/12/2015,293257,28727182.23
10/12/2015,281261,23685618.84
11/12/2015,273864,23656322.85
12/12/2015,184541,15050474.18
13/12/2015,189557,15796105.71
14/12/2015,298574,30003918.06
15/12/2015,321079,32109150.34
16/12/2015,298723,27738634.28
17/12/2015,281588,28189779.79
18/12/2015,238418,20843401.62
19/12/2015,173482,14432795.66
20/12/2015,171022,12371530.65
21/12/2015,250213,21354172.95
22/12/2015,313262,27682651.17
23/12/2015,299192,29892803.29
24/12/2015,183508,18068202.86
25/12/2015,185535,15774853.06
26/12/2015,227754,14171215.37
27/12/2015,212750,17166023.51
28/12/2015,290723,28223410.03
29/12/2015,331586,33208459.77
30/12/2015,282372,28937509.97
31/12/2015,193721,20819401.74
01/01/2016,201336,19566297.45
02/01/2016,233973,19293170.97
03/01/2016,244937,27223887.76
04/01/2016,380614,49859580.65
05/01/2016,425603,38637377.35
06/01/2016,378940,28882442.77
07/01/2016,409698,31292862.92
08/01/2016,342729,29958789.78
09/01/2016,232528,20051021.37
10/01/2016,225233,16437786.24
11/01/2016,362298,34581879.02
12/01/2016,369827,39332123.27
13/01/2016,411424,42020953.74
14/01/2016,408185,35085085.47
15/01/2016,361071,30620007.06
16/01/2016,247554,22253507.22
17/01/2016,247867,19404662.61
18/01/2016,390814,39966619.11
19/01/2016,355727,32289543.61
20/01/2016,357960,34287472.18
21/01/2016,343134,25337646.86
22/01/2016,287591,26204787.21
23/01/2016,202332,16382655.87
24/01/2016,203157,15790374.1
25/01/2016,324641,30775025.45
26/01/2016,362118,29773440.87
27/01/2016,348034,32017981.4
28/01/2016,315617,25775475.54
29/01/2016,270422,23793476.55
30/01/2016,179206,14533108.97
31/01/2016,180401,12938620.99
01/02/2016,227334,23104939.55
02/02/2016,311077,32527695.17
03/02/2016,276824,35533021.43
04/02/2016,312929,34364869.98
05/02/2016,328941,29753936.91
06/02/2016,207815,19951232.05
07/02/2016,194391,15068652.36
08/02/2016,332514,28500016.76
09/02/2016,315082,31877515.13
10/02/2016,347271,31454423.16
11/02/2016,326117,35984788.9
12/02/2016,274050,28667200.44
13/02/2016,191192,18400205.16
14/02/2016,177534,17207354.81
15/02/2016,308830,34944093.02
16/02/2016,330273,29629942.68
17/02/2016,357568,32899188.39
18/02/2016,318946,27269889.36
19/02/2016,284816,28623894.23
20/02/2016,198314,18553528.18
21/02/2016,209759,14384113.71
22/02/2016,332541,30251435.38
23/02/2016,337062,32241155.12
24/02/2016,365644,35242941.82
25/02/2016,356795,38441611.8
26/02/2016,387965,33609471.43
27/02/2016,230052,21717408.57
28/02/2016,242315,21173708.43
29/02/2016,415410,37031441.32
01/03/2016,639785,54851441.75
02/03/2016,564625,44719409.06
03/03/2016,508915,41244956.05
04/03/2016,407302,28575525.72
05/03/2016,255419,17721082.5
06/03/2016,246221,16948143.17
07/03/2016,388241,32809008.96
08/03/2016,412857,43230160.91
09/03/2016,415896,40662668.87
10/03/2016,571661,49801114.04
11/03/2016,979422,80626654.23
12/03/2016,445097,80431546.06
13/03/2016,475350,74052366.91
14/03/2016,623488,106067881.9
15/03/2016,484931,27672414.94
16/03/2016,435996,31924872.57
17/03/2016,368979,24037046.49
18/03/2016,332570,27555578.9
19/03/2016,228245,20345658.31
20/03/2016,211034,17308401.09
21/03/2016,267658,23017359.82
22/03/2016,329376,29661112.46
23/03/2016,299684,35047308.28
24/03/2016,229243,23770090.81
25/03/2016,185662,16826562.47
26/03/2016,174045,15440114.28
27/03/2016,194669,16481622.75
28/03/2016,334049,35137585.26
29/03/2016,377373,35941193.56
30/03/2016,365849,31865615.05
31/03/2016,406650,41165184.44
01/04/2016,313531,22786396.26
02/04/2016,212266,16201165.82
03/04/2016,198897,14347610.11
04/04/2016,339601,32717256.03
05/04/2016,342494,32074284.31
06/04/2016,344193,29730751.87
07/04/2016,325759,28003795.84
08/04/2016,278388,25812374.75
09/04/2016,194678,18485801.6
10/04/2016,199049,17653602.61
11/04/2016,303168,30023886.27
12/04/2016,323617,34487545.25
13/04/2016,382083,33034026.13
14/04/2016,365281,32082631.57
15/04/2016,344495,24603064.65
16/04/2016,225061,14868955.45
17/04/2016,214421,16332445.22
18/04/2016,366844,31546034.8
19/04/2016,461457,43267723.05
20/04/2016,429221,30467334.76
21/04/2016,375138,34550323.39
22/04/2016,293319,24397124.01
23/04/2016,200809,19364313.89
24/04/2016,206570,18484703.21
25/04/2016,344548,32252016.37
26/04/2016,338760,34888434.22
27/04/2016,322747,31839780.06
28/04/2016,306902,28670120.21
29/04/2016,271522,22777676.79
30/04/2016,183388,17400489.83
01/05/2016,193663,17169833.59
02/05/2016,340356,29237036.01
03/05/2016,389977,35374847.6
04/05/2016,342493,33643842.21
05/05/2016,347618,30735019.71
06/05/2016,300066,24115661.02
07/05/2016,192643,18437793.67
08/05/2016,195199,17618865.73
09/05/2016,323604,30895600.74
10/05/2016,311799,38259648.19
11/05/2016,342869,32170150.59
12/05/2016,370088,25804788.09
13/05/2016,339256,29879888.63
14/05/2016,214905,20566235.84
15/05/2016,211431,19854932.09
16/05/2016,368748,35143446.36
17/05/2016,388213,34791089.29
18/05/2016,358432,33981799.44
19/05/2016,338744,29892316.81
20/05/2016,281439,23825628.18
21/05/2016,200857,16592129
22/05/2016,208649,15438711.89
23/05/2016,332566,30380927.68
24/05/2016,341695,39314454.77
25/05/2016,333081,34987594.06
26/05/2016,308890,23419832.57
27/05/2016,255449,20678511.89
28/05/2016,179790,14553274.34
29/05/2016,177549,14618380.65
30/05/2016,327893,28905836.28
31/05/2016,461724,63664698.39
01/06/2016,378870,36546075.56
02/06/2016,348801,41283082.9
03/06/2016,277466,35202907.61
04/06/2016,187526,22693955
05/06/2016,188941,18543469.55
06/06/2016,304176,33094237.54
07/06/2016,347694,39857968.75
08/06/2016,334516,43098234.26
09/06/2016,339221,33267504.49
10/06/2016,284006,28295706.79
11/06/2016,194605,19933251.06
12/06/2016,194719,19760584.81
13/06/2016,321010,33226102.81
14/06/2016,331390,34367320.4
15/06/2016,317834,39402336.2
16/06/2016,310815,34738298.94
17/06/2016,289521,31662947.53
18/06/2016,192872,21108809.16
19/06/2016,185756,18103317.75
20/06/2016,332124,34956956.01
21/06/2016,324552,40379855.92
22/06/2016,324689,42790450.4
